"Category","All India"
"04-01-2023 : 93",153702
"04-01-2023 : 94",151675
"04-01-2023 : 95",149277
"04-01-2023 : 96",147619
"05-01-2023 : 1",146150
"05-01-2023 : 2",143979
"05-01-2023 : 3",142823
"05-01-2023 : 4",141938
"05-01-2023 : 5",140788
"05-01-2023 : 6",139652
"05-01-2023 : 7",139003
"05-01-2023 : 8",138518
"05-01-2023 : 9",137889
"05-01-2023 : 10",136297
"05-01-2023 : 11",135976
"05-01-2023 : 12",136102
"05-01-2023 : 13",136055
"05-01-2023 : 14",136119
"05-01-2023 : 15",136530
"05-01-2023 : 16",136305
"05-01-2023 : 17",136994
"05-01-2023 : 18",137805
"05-01-2023 : 19",140625
"05-01-2023 : 20",141567
"05-01-2023 : 21",145309
"05-01-2023 : 22",147680
"05-01-2023 : 23",152358
"05-01-2023 : 24",154666
"05-01-2023 : 25",157217
"05-01-2023 : 26",160056
"05-01-2023 : 27",166184
"05-01-2023 : 28",169098
"05-01-2023 : 29",175383
"05-01-2023 : 30",179512
"05-01-2023 : 31",184224
"05-01-2023 : 32",186572
"05-01-2023 : 33",187580
"05-01-2023 : 34",191026
"05-01-2023 : 35",193445
"05-01-2023 : 36",196123
"05-01-2023 : 37",197445
"05-01-2023 : 38",200361
"05-01-2023 : 39",202211
"05-01-2023 : 40",202862
"05-01-2023 : 41",203124
"05-01-2023 : 42",204603
"05-01-2023 : 43",205023
"05-01-2023 : 44",205319
"05-01-2023 : 45",205363
"05-01-2023 : 46",205120
"05-01-2023 : 47",204864
"05-01-2023 : 48",204745
"05-01-2023 : 49",204192
"05-01-2023 : 50",201886
"05-01-2023 : 51",201006
"05-01-2023 : 52",201297
"05-01-2023 : 53",200479
"05-01-2023 : 54",197591
"05-01-2023 : 55",196781
"05-01-2023 : 56",197776
"05-01-2023 : 57",196246
"05-01-2023 : 58",194455
"05-01-2023 : 59",194169
"05-01-2023 : 60",193623
"05-01-2023 : 61",193057
"05-01-2023 : 62",193022
"05-01-2023 : 63",191865
"05-01-2023 : 64",191385
"05-01-2023 : 65",190485
"05-01-2023 : 66",186759
"05-01-2023 : 67",188088
"05-01-2023 : 68",187887
"05-01-2023 : 69",187028
"05-01-2023 : 70",184404
"05-01-2023 : 71",185235
"05-01-2023 : 72",185842
"05-01-2023 : 73",185825
"05-01-2023 : 74",185229
"05-01-2023 : 75",186228
"05-01-2023 : 76",186450
"05-01-2023 : 77",184130
"05-01-2023 : 78",184264
"05-01-2023 : 79",182750
"05-01-2023 : 80",180574
"05-01-2023 : 81",178818
"05-01-2023 : 82",176269
"05-01-2023 : 83",174861
"05-01-2023 : 84",172548
"05-01-2023 : 85",169830
"05-01-2023 : 86",168723
"05-01-2023 : 87",167003
"05-01-2023 : 88",164635
"05-01-2023 : 89",161437
"05-01-2023 : 90",161524
"05-01-2023 : 91",160101
"05-01-2023 : 92",157505
"05-01-2023 : 93",154882
"05-01-2023 : 94",152953
"05-01-2023 : 95",151377
"05-01-2023 : 96",148900
"06-01-2023 : 1",147399
"06-01-2023 : 2",145022
"06-01-2023 : 3",144075
"06-01-2023 : 4",142582
"06-01-2023 : 5",141123
"06-01-2023 : 6",139913
"06-01-2023 : 7",139099
"06-01-2023 : 8",138088
"06-01-2023 : 9",137517
"06-01-2023 : 10",136435
"06-01-2023 : 11",136339
"06-01-2023 : 12",135807
"06-01-2023 : 13",135207
"06-01-2023 : 14",135079
"06-01-2023 : 15",135551
"06-01-2023 : 16",135794
"06-01-2023 : 17",136631
"06-01-2023 : 18",137915
"06-01-2023 : 19",139312
"06-01-2023 : 20",142150
"06-01-2023 : 21",144455
"06-01-2023 : 22",147845
"06-01-2023 : 23",151604
"06-01-2023 : 24",155212
"06-01-2023 : 25",158331
"06-01-2023 : 26",160728
"06-01-2023 : 27",165902
"06-01-2023 : 28",170017
"06-01-2023 : 29",175130
"06-01-2023 : 30",179931
"06-01-2023 : 31",182957
"06-01-2023 : 32",185309
